fecha,ccl
2014-11-03,13.0500
2014-11-04,13.3800
2014-11-05,13.1900
2014-11-06,13.1900
2014-11-07,12.9800
2014-11-08,12.9800
2014-11-09,12.9800
2014-11-10,12.7300
2014-11-11,12.7800
2014-11-12,12.5500
2014-11-13,12.4500
2014-11-14,12.1300
2014-11-15,12.1300
2014-11-16,12.1300
2014-11-17,12.1200
2014-11-18,12.0800
2014-11-19,11.9200
2014-11-20,11.7500
2014-11-21,11.7800
2014-11-22,11.7800
2014-11-23,11.7800
2014-11-24,11.7800
2014-11-25,11.9800
2014-11-26,11.9700
2014-11-27,11.9700
2014-11-28,11.9700
2014-11-29,11.9700
2014-11-30,11.9700
2014-12-01,12.2700
2014-12-02,11.9000
2014-12-03,11.9100
2014-12-04,11.9900
2014-12-05,12.0100
2014-12-06,12.0100
2014-12-07,12.0100
2014-12-08,12.0100
2014-12-09,11.8800
2014-12-10,11.6600
2014-12-11,11.3000
2014-12-12,11.5300
2014-12-13,11.5300
2014-12-14,11.5300
2014-12-15,11.6500
2014-12-16,11.3900
2014-12-17,11.6500
2014-12-18,11.6500
2014-12-19,11.3300
2014-12-20,11.3300
2014-12-21,11.3300
2014-12-22,11.2400
2014-12-23,11.2900
2014-12-24,11.2900
2014-12-25,11.2900
2014-12-26,11.2900
2014-12-27,11.2900
2014-12-28,11.2900
2014-12-29,11.2700
2014-12-30,11.2600
2014-12-31,11.2600
2015-01-01,11.2600
2015-01-02,11.9300
2015-01-03,11.9300
2015-01-04,11.9300
2015-01-05,12.2400
2015-01-06,11.9800
2015-01-07,12.0900
2015-01-08,12.1300
2015-01-09,12.1700
2015-01-10,12.1700
2015-01-11,12.1700
2015-01-12,12.0200
2015-01-13,12.0700
2015-01-14,12.2200
2015-01-15,12.1600
2015-01-16,12.4500
2015-01-17,12.4500
2015-01-18,12.4500
2015-01-19,12.4100
2015-01-20,12.4100
2015-01-21,12.4600
2015-01-22,12.1600
2015-01-23,12.1000
