fecha,ticker,cierre
2022-01-04,XME,44.330597
2022-01-05,ACWI,96.811699
2022-01-05,ARKK,85.407715
2022-01-05,CIBR,48.473763
2022-01-05,COPX,33.194153
2022-01-05,DIA,336.038971
2022-01-05,EEM,43.518959
2022-01-05,EFA,68.752243
2022-01-05,ESGU,99.919167
2022-01-05,EWJ,60.813900
2022-01-05,EWY,70.066437
2022-01-05,EWZ,19.314594
2022-01-05,FXI,31.680742
2022-01-05,GDX,29.287426
2022-01-05,GLD,169.059998
2022-01-05,IBB,140.763458
2022-01-05,ICLN,18.855057
2022-01-05,IEMG,52.239334
2022-01-05,IEUR,50.351925
2022-01-05,IJH,52.275997
2022-01-05,ILF,17.058426
2022-01-05,ITA,101.385201
2022-01-05,IVE,145.118256
2022-01-05,IVV,441.415863
2022-01-05,IVW,78.529785
2022-01-05,IWM,205.485565
2022-01-05,JPMB,35.981544
2022-01-05,MERVAL,401.898370
2022-01-05,MUB,101.726540
2022-01-05,PSQ,46.631657
2022-01-05,QQQ,373.839722
2022-01-05,RSP,149.736755
2022-01-05,SH,46.345852
2022-01-05,SLV,21.000000
2022-01-05,SMH,147.875168
2022-01-05,SPHQ,49.587669
2022-01-05,SPXL,132.306992
2022-01-05,SPY,440.707672
2022-01-05,TQQQ,35.580212
2022-01-05,URA,21.499348
2022-01-05,USO,55.430000
2022-01-05,VEA,44.610588
2022-01-05,VIG,156.799744
2022-01-05,VXX,308.640015
2022-01-05,XLB,41.379379
2022-01-05,XLC,72.547745
2022-01-05,XLE,25.294794
2022-01-05,XLF,37.106750
2022-01-05,XLI,99.006798
2022-01-05,XLK,81.355721
2022-01-05,XLP,68.849510
2022-01-05,XLRE,42.446564
2022-01-05,XLU,30.843761
2022-01-05,XLV,126.916687
2022-01-05,XLY,97.884918
2022-01-05,XME,44.388172
2022-01-06,ACWI,96.607918
2022-01-06,ARKK,84.872185
2022-01-06,CIBR,48.680202
2022-01-06,COPX,33.014282
2022-01-06,DIA,334.470032
2022-01-06,EEM,43.717476
2022-01-06,EFA,68.403870
2022-01-06,ESGU,99.853172
2022-01-06,EWJ,60.364090
2022-01-06,EWY,69.523781
2022-01-06,EWZ,19.496668
